obra_id,title,author_normalized,year,decade,tokens_total,tokens_total_old,tokens_total_full,n_cases_total,n_emigrant_mentions,emigrant_rate_per_1k_tokens,top_3_scenes_by_rate,top_3_emigrant_markers,year_missing,format_missing,tokens_low,token_mismatch_flag
manuel_antonio_de_catro_a_catro_tei,De catro a catro,"Antonio, Manuel",,unknown_year,5176,5176,5176,13,36,6.96,trabajo_jornalero(4) | muerte_duelo(3) | aldea_ciudad(2),buque|barco|vapor(20) | travesía(6) | nostalgia|saudade|morriña(4),1,1,0,0
castelao_cousas_tei_v2,Cousas,"Castelao, Alfonso Rodríguez",1926.0,1920s,11564,707,11564,1,0,0.0,aldea_ciudad(1),,0,1,1,1
castelao_os_dous_de_sempre,Os dous de sempre,"Castelao, Alfonso Rodríguez",1934.0,1930s,19623,19623,19623,88,43,2.19,aldea_ciudad(23) | religiosidad_supersticion(12) | movilidad_interna(10),pobreza|miseria|indigencia(8) | nostalgia|saudade|morriña(7) | emigrante(6),0,1,0,0
retrincos.tei,Retrincos,"Castelao, Alfonso Rodríguez",1934.0,1930s,6571,6571,6571,24,35,5.33,aldea_ciudad(9) | violencia_agresion(5) | religiosidad_supersticion(3),buque|barco|vapor(7) | gallego|español|europeo(6) | Habana|Cuba(5),0,1,0,0
as_cruces_de_pedra_na_galiza_castelao_tei,As cruces de pedra na Galiza,"Castelao, Alfonso Rodríguez",1950.0,1950s,8625,8625,8625,15,7,0.81,aldea_ciudad(4) | religiosidad_supersticion(4) | amor_deseo(3),palacio|mansión|quinta|estancia(2) | buque|barco|vapor(1) | colonia|comunidad de emigrados(1),0,1,0,0
sempre_en_galiza_castelao_tei,Sempre en Galiza,"Castelao, Alfonso Rodríguez",,unknown_year,167141,167141,167141,206,812,4.86,amor_deseo(51) | violencia_agresion(41) | hambre_subsistencia(33),gallego|español|europeo(482) | nostalgia|saudade|morriña(84) | pobreza|miseria|indigencia(36),1,1,0,0
cantares_gallegos_001,Cantares Gallegos,"Castro, Rosalía de",1863.0,1860s,32372,32372,32372,90,40,1.24,amor_deseo(40) | religiosidad_supersticion(19) | violencia_agresion(9),gallego|español|europeo(27) | palacio|mansión|quinta|estancia(3) | pobreza|miseria|indigencia(3),0,1,0,0
follas_novas_001,Follas Novas,"Castro, Rosalía de",1880.0,1880s,28281,28281,28281,110,57,2.02,amor_deseo(43) | muerte_duelo(28) | religiosidad_supersticion(9),gallego|español|europeo(22) | Habana|Cuba(9) | buque|barco|vapor(7),0,1,0,0
curros_enriquez_aires_de_la_tierra.tei,Aires de la tierra,"Curros Enríquez, Manuel",1880.0,1880s,33832,33835,33832,310,82,2.42,muerte_duelo(59) | religiosidad_supersticion(56) | amor_deseo(49),gallego|español|europeo(24) | palacio|mansión|quinta|estancia(9) | Habana|Cuba(6),0,1,0,0
dieste_muriel_tei,Muriel o el tiempo va en barca,"Dieste, Rafael",,unknown_year,44780,44780,44780,148,35,0.78,muerte_duelo(35) | amor_deseo(28) | ciclo_agricola(27),buque|barco|vapor(10) | puerto(4) | retorno(4),1,1,0,0
dieste_viaje_duelo_perdicion_tei,"Viaje, Duelo y Pérdición","Dieste, Rafael",,unknown_year,49965,49965,49965,221,25,0.5,amor_deseo(74) | muerte_duelo(67) | religiosidad_supersticion(18),fortuna(5) | pobreza|miseria|indigencia(5) | pasaje(4),1,1,0,0
el_indulto,Sin_titulo,"Pardo Bazán, Emilia",1883.0,1880s,2483,2483,2483,17,7,2.82,aldea_ciudad(7) | amor_deseo(2) | genero_roles(2),palacio|mansión|quinta|estancia(3) | fortuna(2) | pobreza|miseria|indigencia(1),0,1,0,0
fuego_a_bordo,Fuego a Bordo,"Pardo Bazán, Emilia",1885.0,1880s,5907,5907,5907,31,51,8.63,muerte_duelo(13) | caciquismo_poder(7) | religiosidad_supersticion(4),buque|barco|vapor(41) | azúcar|cacao|tabaco(3) | puerto(2),0,1,0,0
Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán,Los Pazos De Ulloa Novela Original Precedida De Unos Apuntes Autobiográficos Por Emilia Pardo Bazán,"Pardo Bazán, Emilia",1886.0,1880s,262479,262479,262479,552,260,0.99,religiosidad_supersticion(148) | amor_deseo(147) | muerte_duelo(119),gallego|español|europeo(84) | palacio|mansión|quinta|estancia(33) | criados|esclavos|peones(25),0,1,0,0
la-madre-naturaleza-2011,La Madre Naturaleza 2011,"Pardo Bazán, Emilia",1887.0,1880s,89822,89822,89822,273,86,0.96,amor_deseo(66) | religiosidad_supersticion(59) | muerte_duelo(51),gallego|español|europeo(18) | buque|barco|vapor(13) | palacio|mansión|quinta|estancia(11),0,1,0,0
el_baile_del_querubín,El Baile del Querubín,"Pardo Bazán, Emilia",1891.0,1890s,4207,4207,4207,6,3,0.71,caciquismo_poder(1) | genero_roles(1) | morriña_nostalgia(1),palacio|mansión|quinta|estancia(2) | azúcar|cacao|tabaco(1),0,1,0,0
el_senor_doctoral,Sin_titulo,"Pardo Bazán, Emilia",1891.0,1890s,3374,3374,3374,23,2,0.59,muerte_duelo(6) | religiosidad_supersticion(5) | hambre_subsistencia(4),Habana|Cuba(1) | azúcar|cacao|tabaco(1),0,1,0,0
por_el_arte,Por el Arte,"Pardo Bazán, Emilia",1891.0,1890s,10011,10011,10011,22,16,1.6,aldea_ciudad(8) | amor_deseo(3) | movilidad_interna(2),gallego|español|europeo(7) | buque|barco|vapor(3) | nostalgia|saudade|morriña(2),0,1,0,0
viernes_santo,Viernes Santo,"Pardo Bazán, Emilia",1891.0,1890s,4293,4293,4293,31,3,0.7,muerte_duelo(7) | religiosidad_supersticion(7) | violencia_agresion(4),buque|barco|vapor(1) | fortuna(1) | gallego|español|europeo(1),0,1,0,0
el_molino,El Molino,"Pardo Bazán, Emilia",1892.0,1890s,2322,2322,2322,17,3,1.29,amor_deseo(4) | religiosidad_supersticion(3) | aldea_ciudad(2),buque|barco|vapor(1) | fortuna(1) | puerto(1),0,1,0,0
el_sonar_del_río,El Sonar del Río,"Pardo Bazán, Emilia",1892.0,1890s,1720,1720,1720,9,16,9.3,muerte_duelo(4) | aldea_ciudad(1) | deuda_usura(1),buque|barco|vapor(12) | riqueza(2) | pobreza|miseria|indigencia(1),0,1,0,0
en_el_nombre_del_padre,En el Nombre del Padre...,"Pardo Bazán, Emilia",1892.0,1890s,3579,3579,3579,16,2,0.56,muerte_duelo(4) | religiosidad_supersticion(4) | amor_deseo(2),azúcar|cacao|tabaco(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
idilio,Idilio,"Pardo Bazán, Emilia",1892.0,1890s,1463,1463,1463,8,4,2.73,ciclo_agricola(2) | hambre_subsistencia(2) | muerte_duelo(2),pasaje(2) | fortuna(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
las_tapias_del_campo_santo,Las Tapias del Campo Santo,"Pardo Bazán, Emilia",1892.0,1890s,3655,3655,3655,19,5,1.37,amor_deseo(4) | muerte_duelo(4) | religiosidad_supersticion(4),Habana|Cuba(1) | buque|barco|vapor(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
morrión_y_boina,Morrión y Boina,"Pardo Bazán, Emilia",1892.0,1890s,9785,9785,9785,38,8,0.82,amor_deseo(8) | muerte_duelo(8) | ciclo_agricola(6),gallego|español|europeo(4) | fortuna(1) | nostalgia|saudade|morriña(1),0,1,0,0
el_lorito_real,El Lorito Real,"Pardo Bazán, Emilia",1893.0,1890s,835,835,835,1,2,2.4,religiosidad_supersticion(1),criados|esclavos|peones(1) | gallego|español|europeo(1),0,1,1,0
la_flor_seca,La Flor Seca,"Pardo Bazán, Emilia",1893.0,1890s,1523,1523,1523,6,0,0.0,trabajo_jornalero(2) | amor_deseo(1) | ciclo_agricola(1),,0,1,0,0
contra_treta,Contra Treta...,"Pardo Bazán, Emilia",1894.0,1890s,1666,1666,1666,26,23,13.81,retorno_indiano(12) | aldea_ciudad(3) | deuda_usura(3),indiano(12) | buque|barco|vapor(3) | pasaje(2),0,1,0,0
el_sino,El Sino,"Pardo Bazán, Emilia",1894.0,1890s,1587,1587,1587,8,11,6.93,muerte_duelo(4) | amor_deseo(2) | aldea_ciudad(1),buque|barco|vapor(5) | pasaje(3) | travesía(2),0,1,0,0
el_tornado,El Tornado,"Pardo Bazán, Emilia",1894.0,1890s,1921,1921,1921,9,14,7.29,muerte_duelo(4) | caciquismo_poder(3) | hambre_subsistencia(1),Habana|Cuba(4) | buque|barco|vapor(4) | pasaje(3),0,1,0,0
el_voto,El Voto,"Pardo Bazán, Emilia",1894.0,1890s,1529,1529,1529,17,14,9.16,retorno_indiano(5) | genero_roles(4) | aldea_ciudad(3),indiano(5) | palacio|mansión|quinta|estancia(2) | travesía(2),0,1,0,0
la_flor_de_la_salud,La Flor de la Salud,"Pardo Bazán, Emilia",1894.0,1890s,1673,1673,1673,8,1,0.6,muerte_duelo(5) | religiosidad_supersticion(2) | caciquismo_poder(1),fortuna(1),0,1,0,0
santiago_el_mudo,Santiago el Mudo,"Pardo Bazán, Emilia",1894.0,1890s,1899,1899,1899,26,9,4.74,caciquismo_poder(13) | ciclo_agricola(4) | aldea_ciudad(2),palacio|mansión|quinta|estancia(3) | Habana|Cuba(2) | criados|esclavos|peones(2),0,1,0,0
de_polizón,De Polizón,"Pardo Bazán, Emilia",1895.0,1890s,1463,1463,1463,7,22,15.04,ciclo_agricola(2) | muerte_duelo(2) | hambre_subsistencia(1),buque|barco|vapor(6) | emigrante(4) | pasaje(3),0,1,0,0
el_mazo,Sin_titulo,"Pardo Bazán, Emilia",1895.0,1890s,1851,1851,1851,7,6,3.24,ciclo_agricola(2) | aldea_ciudad(1) | amor_deseo(1),palacio|mansión|quinta|estancia(3) | buque|barco|vapor(1) | criados|esclavos|peones(1),0,1,0,0
el_morito,El Morito,"Pardo Bazán, Emilia",1895.0,1890s,1577,1577,1577,4,6,3.8,amor_deseo(2) | ciclo_agricola(1) | morriña_nostalgia(1),gallego|español|europeo(4) | fortuna(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
el_palacio_de_artasar,El Palacio de Artasar,"Pardo Bazán, Emilia",1895.0,1890s,1410,1410,1410,4,19,13.48,aldea_ciudad(2) | amor_deseo(1) | hambre_subsistencia(1),palacio|mansión|quinta|estancia(15) | riqueza(2) | criados|esclavos|peones(1),0,1,0,0
el_quinto,El Quinto,"Pardo Bazán, Emilia",1895.0,1890s,1516,1516,1516,7,0,0.0,muerte_duelo(4) | ciclo_agricola(1) | movilidad_interna(1),,0,1,0,0
el_revólver,El Revólver,"Pardo Bazán, Emilia",1895.0,1890s,1585,1585,1585,9,2,1.26,amor_deseo(4) | trabajo_jornalero(2) | caciquismo_poder(1),azúcar|cacao|tabaco(1) | pasaje(1),0,1,0,0
la_aventura_del_ángel,La Aventura del Ángel,"Pardo Bazán, Emilia",1897.0,1890s,1658,1658,1658,6,5,3.02,aldea_ciudad(5) | morriña_nostalgia(1),desterrado|exiliado|proscrito(5),0,1,0,0
cornada,Cornada,"Pardo Bazán, Emilia",1898.0,1890s,1646,1646,1646,14,5,3.04,aldea_ciudad(5) | retorno_indiano(4) | muerte_duelo(2),indiano(4) | azúcar|cacao|tabaco(1),0,1,0,0
la_bicha,La Bicha,"Pardo Bazán, Emilia",1898.0,1890s,1719,1719,1719,5,1,0.58,muerte_duelo(2) | violencia_agresion(2) | aldea_ciudad(1),criados|esclavos|peones(1),0,1,0,0
el_peregrino,El Peregrino,"Pardo Bazán, Emilia",1899.0,1890s,2170,2170,2170,13,1,0.46,amor_deseo(3) | ciclo_agricola(3) | aldea_ciudad(2),prisión|cautividad|esclavitud(1),0,1,0,0
el_rompecabezas,El Rompecabezas,"Pardo Bazán, Emilia",1899.0,1890s,1315,1315,1315,7,4,3.04,muerte_duelo(3) | aldea_ciudad(1) | genero_roles(1),Habana|Cuba(1) | buque|barco|vapor(1) | fortuna(1),0,1,0,0
barbastro,Barbastro,"Pardo Bazán, Emilia",1900.0,1900s,1574,1574,1574,10,13,8.26,muerte_duelo(2) | amor_deseo(1) | ciclo_agricola(1),palacio|mansión|quinta|estancia(8) | Montevideo(1) | buque|barco|vapor(1),0,1,0,0
el_tetrarca_en_la_aldea,El Tetrarca en la Aldea,"Pardo Bazán, Emilia",1900.0,1900s,1645,1645,1645,14,5,3.04,aldea_ciudad(3) | ciclo_agricola(2) | hambre_subsistencia(2),Montevideo(1) | fortuna(1) | pobreza|miseria|indigencia(1),0,1,0,0
el_vino_del_mar,El Vino del Mar,"Pardo Bazán, Emilia",1900.0,1900s,1493,1493,1493,12,2,1.34,ciclo_agricola(5) | amor_deseo(2) | aldea_ciudad(1),buque|barco|vapor(1) | puerto(1),0,1,0,0
el_voto_de_rosiña,El Voto de Rosiña,"Pardo Bazán, Emilia",1900.0,1900s,1480,1480,1480,12,1,0.68,caciquismo_poder(5) | amor_deseo(3) | violencia_agresion(2),fortuna(1),0,1,0,0
la_amenaza,La Amenaza,"Pardo Bazán, Emilia",1900.0,1900s,1953,1953,1953,15,5,2.56,muerte_duelo(7) | ciclo_agricola(2) | migracion_embarque(2),Buenos Aires(2) | buque|barco|vapor(1) | gallego|español|europeo(1),0,1,0,0
la_camarona,La Camarona,"Pardo Bazán, Emilia",1900.0,1900s,1258,1258,1258,4,4,3.18,muerte_duelo(2) | ciclo_agricola(1) | violencia_agresion(1),buque|barco|vapor(1) | fortuna(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
la_mayorazga_de_bouzas,La Mayorazga de Bouzas,"Pardo Bazán, Emilia",1900.0,1900s,3731,3731,3731,63,3,0.8,herencia_tierra(31) | caciquismo_poder(12) | ciclo_agricola(5),buque|barco|vapor(2) | Habana|Cuba(1),0,1,0,0
nieto_del_cid,Nieto del Cid,"Pardo Bazán, Emilia",1900.0,1900s,2915,2915,2915,27,3,1.03,trabajo_jornalero(12) | muerte_duelo(6) | ciclo_agricola(4),gallego|español|europeo(2) | buque|barco|vapor(1),0,1,0,0
poema_humilde,Poema Humilde,"Pardo Bazán, Emilia",1900.0,1900s,1762,1762,1762,14,16,9.08,aldea_ciudad(4) | trabajo_jornalero(3) | amor_deseo(2),buque|barco|vapor(8) | puerto(3) | azúcar|cacao|tabaco(1),0,1,0,0
el_templo,El Templo,"Pardo Bazán, Emilia",1902.0,1900s,1524,1524,1524,7,5,3.28,amor_deseo(3) | ciclo_agricola(1) | muerte_duelo(1),palacio|mansión|quinta|estancia(4) | indiano(1),0,1,0,0
la_exangüe,La Exangüe,"Pardo Bazán, Emilia",1902.0,1900s,1414,1414,1414,4,6,4.24,muerte_duelo(2) | amor_deseo(1) | trabajo_jornalero(1),buque|barco|vapor(3) | gallego|español|europeo(2) | ultramar(1),0,1,0,0
la_emparedada,La Emparedada,"Pardo Bazán, Emilia",1907.0,1900s,1205,1205,1205,9,1,0.83,muerte_duelo(5) | amor_deseo(3) | ciclo_agricola(1),palacio|mansión|quinta|estancia(1),0,1,0,0
la_mirada,La Mirada,"Pardo Bazán, Emilia",1908.0,1900s,1401,1401,1401,8,1,0.71,caciquismo_poder(5) | amor_deseo(2) | aldea_ciudad(1),gallego|español|europeo(1),0,1,0,0
una_pasión,Una Pasión,"Pardo Bazán, Emilia",1909.0,1900s,3529,3529,3529,14,3,0.85,ciclo_agricola(4) | amor_deseo(3) | hambre_subsistencia(2),americano(1) | gallego|español|europeo(1) | palacio|mansión|quinta|estancia(1),0,1,0,0
fraternidad,Fraternidad,"Pardo Bazán, Emilia",1910.0,1910s,1195,1195,1195,5,3,2.51,amor_deseo(3) | aldea_ciudad(1) | movilidad_interna(1),gallego|español|europeo(2) | palacio|mansión|quinta|estancia(1),0,1,0,0
las_caras,Las Caras,"Pardo Bazán, Emilia",1910.0,1910s,1550,1550,1550,12,2,1.29,aldea_ciudad(4) | muerte_duelo(2) | religiosidad_supersticion(2),azúcar|cacao|tabaco(1) | nostalgia|saudade|morriña(1),0,1,0,0
las_cutres,"Las ""Cutres""","Pardo Bazán, Emilia",1910.0,1910s,1521,1521,1521,13,5,3.29,amor_deseo(3) | aldea_ciudad(2) | hambre_subsistencia(2),pobreza|miseria|indigencia(2) | fortuna(1) | ultramar(1),0,1,0,0
la-gota-de-sangre-1147839,La Gota De Sangre 1147839,"Pardo Bazán, Emilia",1911.0,1910s,13593,13593,13593,85,10,0.74,muerte_duelo(25) | caciquismo_poder(14) | amor_deseo(12),criados|esclavos|peones(4) | gallego|español|europeo(2) | buque|barco|vapor(1),0,1,0,0
la_estrella_blanca,La Estrella Blanca,"Pardo Bazán, Emilia",1912.0,1910s,2150,2150,2150,14,5,2.33,amor_deseo(7) | aldea_ciudad(4) | muerte_duelo(3),palacio|mansión|quinta|estancia(4) | prisión|cautividad|esclavitud(1),0,1,0,0
en_coche-cama,En Coche-cama,"Pardo Bazán, Emilia",1914.0,1910s,1730,1730,1730,8,1,0.58,religiosidad_supersticion(5) | muerte_duelo(2) | deuda_usura(1),Habana|Cuba(1),0,1,0,0
la_danza_del_peregrino,La Danza del Peregrino,"Pardo Bazán, Emilia",1916.0,1910s,1723,1723,1723,13,0,0.0,religiosidad_supersticion(4) | aldea_ciudad(3) | ciclo_agricola(2),,0,1,0,0
testigo_irrecusable,Testigo Irrecusable,"Pardo Bazán, Emilia",1917.0,1910s,1800,1800,1800,6,0,0.0,amor_deseo(3) | genero_roles(1) | muerte_duelo(1),,0,1,0,0
en_silencio,En Silencio,"Pardo Bazán, Emilia",1922.0,1920s,1860,1860,1860,18,8,4.3,caciquismo_poder(4) | trabajo_jornalero(4) | amor_deseo(3),Buenos Aires(1) | buque|barco|vapor(1) | emigrante(1),0,1,0,0
la_corpana,La Corpana,"Pardo Bazán, Emilia",1922.0,1920s,1355,1355,1355,9,1,0.74,hambre_subsistencia(3) | violencia_agresion(2) | aldea_ciudad(1),pobreza|miseria|indigencia(1),0,1,0,0
la_hoz,La Hoz,"Pardo Bazán, Emilia",1922.0,1920s,2037,2037,2037,15,2,0.98,amor_deseo(5) | caciquismo_poder(3) | ciclo_agricola(2),azúcar|cacao|tabaco(2),0,1,0,0
la_señorita_aglae,La Señorita Aglae,"Pardo Bazán, Emilia",1922.0,1920s,1728,1728,1728,11,11,6.37,amor_deseo(4) | aldea_ciudad(2) | violencia_agresion(2),Buenos Aires(3) | buque|barco|vapor(3) | criados|esclavos|peones(2),0,1,0,0
madrugueiro,Madrugueiro,"Pardo Bazán, Emilia",1922.0,1920s,1640,1640,1640,19,11,6.71,aldea_ciudad(4) | religiosidad_supersticion(4) | retorno_indiano(4),indiano(4) | riqueza(3) | Montevideo(2),0,1,0,0
la_charca,La Charca,"Pardo Bazán, Emilia",,unknown_year,1578,1578,1578,2,3,1.9,amor_deseo(1) | trabajo_jornalero(1),criados|esclavos|peones(2) | palacio|mansión|quinta|estancia(1),1,1,0,0
la_expiacion,La Expiacón,"Pardo Bazán, Emilia",,unknown_year,2318,2318,2318,8,2,0.86,religiosidad_supersticion(3) | amor_deseo(1) | ciclo_agricola(1),fortuna(1) | nostalgia|saudade|morriña(1),1,1,0,0
puntería,Puntería,"Pardo Bazán, Emilia",,unknown_year,1888,1888,1888,12,11,5.83,amor_deseo(6) | aldea_ciudad(2) | muerte_duelo(2),palacio|mansión|quinta|estancia(7) | gallego|español|europeo(2) | colonia|comunidad de emigrados(1),1,1,0,0
queixumes_dos_pinos,Queixumes dos pinos,"Pondal, Eduardo",1886.0,1880s,30519,30519,30519,71,48,1.57,amor_deseo(30) | religiosidad_supersticion(24) | deuda_usura(3),palacio|mansión|quinta|estancia(12) | buque|barco|vapor(6) | prisión|cautividad|esclavitud(6),0,1,0,0
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,Supersticiones de Galicia y preocupaciones vulgares,"Rodríguez López, Xesús",,unknown_year,56526,56526,56526,286,99,1.75,religiosidad_supersticion(107) | muerte_duelo(47) | violencia_agresion(30),gallego|español|europeo(46) | fortuna(10) | paisano|compatriota(9),1,1,0,0
flor_de_santidad_001,Flor de Santidad. Historia milenaria,"Valle-Inclán, Ramón del",1904.0,1900s,19221,19221,19221,99,22,1.14,religiosidad_supersticion(42) | ciclo_agricola(18) | hambre_subsistencia(12),criados|esclavos|peones(9) | lejanía(4) | palacio|mansión|quinta|estancia(3),0,1,0,0
aguila_de_blason_001,Águila de blasón,"Valle-Inclán, Ramón del",1907.0,1900s,586,586,586,4,4,6.83,trabajo_jornalero(2) | herencia_tierra(1) | violencia_agresion(1),criados|esclavos|peones(2) | palacio|mansión|quinta|estancia(1) | riqueza(1),0,1,1,0
romance_de_lobos_001,Romance de lobos,"Valle-Inclán, Ramón del",1908.0,1900s,617,617,617,6,2,3.24,muerte_duelo(3) | violencia_agresion(2) | aldea_ciudad(1),buque|barco|vapor(1) | criados|esclavos|peones(1),0,1,1,0
cara_de_plata_001,Cara de plata,"Valle-Inclán, Ramón del",1923.0,1920s,828,828,828,8,0,0.0,deuda_usura(4) | muerte_duelo(2) | trabajo_jornalero(2),,0,1,1,0
