archivo,doc_id,author,title,year_first_pub,year_edition,genre,subcorpus,lang,circuit,source,license,tei_file,notes,genero_macro_normalizado,decada_norm
Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán,los_pazos_de_ulloa_novela_original_precedida_de_unos_apuntes_autobiograficos_por_emilia_pardo_bazan,Emilia Pardo Bazán,Los Pazos De Ulloa Novela Original Precedida De Unos Apuntes Autobiográficos Por Emilia Pardo Bazán,1886,,novela,,es,,,Dominio público,tei/Los-pazos-de-Ulloa-novela-original-precedida-de-unos-apuntes-autobiográficos-por-Emilia-Pardo-Bazán.xml,,novela,1880
barbastro,barbastro,Emilia Pardo Bazán,Barbastro,1900,,sin_clasificar,,es,,,Dominio público,tei/barbastro.xml,ca. 1900,cuento,1900
contra_treta,contra_treta,Emilia Pardo Bazán,Contratar,1894,,sin_clasificar,,es,,,Dominio público,tei/contra_treta.xml,ca. 1894,cuento,1890
cornada,cornada,Emilia Pardo Bazán,Cornada,1898,,sin_clasificar,,es,,,Dominio público,tei/cornada.xml,ca. 1898,cuento,1890
de_polizón,de_polizon,Emilia Pardo Bazán,De Polizón,1895,,sin_clasificar,,es,,,Dominio público,tei/de_polizón.xml,ca. 1895,cuento,1890
el_baile_del_querubín,el_baile_del_querubin,Emilia Pardo Bazán,El Baile del Querubín,1891,,sin_clasificar,,es,,,Dominio público,tei/el_baile_del_querubín.xml,,cuento,1890
el_indulto,el_indulto,Emilia Pardo Bazán,El Indulto,1883,,sin_clasificar,,es,,,Dominio público,tei/el_indulto.xml,,cuento,1880
el_lorito_real,el_lorito_real,Emilia Pardo Bazán,El Lorito Real,1893,,sin_clasificar,,es,,,Dominio público,tei/el_lorito_real.xml,,cuento,1890
el_mazo,el_mazo,Emilia Pardo Bazán,El Mazo,1895,,sin_clasificar,,es,,,Dominio público,tei/el_mazo.xml,ca. 1895,cuento,1890
el_molino,el_molino,Emilia Pardo Bazán,El Molino,1892,,sin_clasificar,,es,,,Dominio público,tei/el_molino.xml,,cuento,1890
el_morito,el_morito,Emilia Pardo Bazán,El Morito,1895,,sin_clasificar,,es,,,Dominio público,tei/el_morito.xml,ca. 1895,cuento,1890
el_palacio_de_artasar,el_palacio_de_artasar,Emilia Pardo Bazán,El Palacio de Artasar,1895,,sin_clasificar,,es,,,Dominio público,tei/el_palacio_de_artasar.xml,ca. 1895,cuento,1890
el_peregrino,el_peregrino,Emilia Pardo Bazán,El Peregrino,1899,,sin_clasificar,,es,,,Dominio público,tei/el_peregrino.xml,,cuento,1890
el_quinto,el_quinto,Emilia Pardo Bazán,El Quinto,1895,,sin_clasificar,,es,,,Dominio público,tei/el_quinto.xml,ca. 1895,cuento,1890
el_revólver,el_revolver,Emilia Pardo Bazán,El Revólver,1895,,sin_clasificar,,es,,,Dominio público,tei/el_revólver.xml,,cuento,1890
el_rompecabezas,el_rompecabezas,Emilia Pardo Bazán,El Rompecabezas,1899,,sin_clasificar,,es,,,Dominio público,tei/el_rompecabezas.xml,,cuento,1890
el_senor_doctoral,el_senor_doctoral,Emilia Pardo Bazán,Sin_titulo,1891,,sin_clasificar,,es,,,Dominio público,tei/el_senor_doctoral.xml,,cuento,1890
el_sino,el_sino,Emilia Pardo Bazán,El Sino,1894,,sin_clasificar,,es,,,Dominio público,tei/el_sino.xml,,cuento,1890
el_sonar_del_río,el_sonar_del_rio,Emilia Pardo Bazán,El Sonar del Río,1892,,sin_clasificar,,es,,,Dominio público,tei/el_sonar_del_río.xml,,cuento,1890
el_templo,el_templo,Emilia Pardo Bazán,El Templo,1902,,sin_clasificar,,es,,,Dominio público,tei/el_templo.xml,,cuento,1900
el_tetrarca_en_la_aldea,el_tetrarca_en_la_aldea,Emilia Pardo Bazán,El Tetrarca en la Aldea,1900,,sin_clasificar,,es,,,Dominio público,tei/el_tetrarca_en_la_aldea.xml,,cuento,1900
el_tornado,el_tornado,Emilia Pardo Bazán,El Tornado,1894,,sin_clasificar,,es,,,Dominio público,tei/el_tornado.xml,,cuento,1890
el_vino_del_mar,el_vino_del_mar,Emilia Pardo Bazán,El Vino del Mar,1900,,sin_clasificar,,es,,,Dominio público,tei/el_vino_del_mar.xml,,cuento,1900
el_voto,el_voto,Emilia Pardo Bazán,El Voto,1894,,sin_clasificar,,es,,,Dominio público,tei/el_voto.xml,,cuento,1890
el_voto_de_rosiña,el_voto_de_rosina,Emilia Pardo Bazán,El Voto de Rosiña,1900,,sin_clasificar,,es,,,Dominio público,tei/el_voto_de_rosiña.xml,,cuento,1900
en_coche-cama,en_coche_cama,Emilia Pardo Bazán,En Coche-cama,1914,,sin_clasificar,,es,,,Dominio público,tei/en_coche-cama.xml,,cuento,1910
en_el_nombre_del_padre,en_el_nombre_del_padre,Emilia Pardo Bazán,En el Nombre del Padre...,1892,,sin_clasificar,,es,,,Dominio público,tei/en_el_nombre_del_padre.xml,,cuento,1890
en_silencio,en_silencio,Emilia Pardo Bazán,En Silencio,1922,,sin_clasificar,,es,,,Dominio público,tei/en_silencio.xml,Cuentos de la tierra (obra póstuma),cuento,1920
flor-de-santidad,flor_de_santidad_001,Ramón del Valle-Inclán,Flor de Santidad. Historia milenaria,1904,,novela,estructura_rural,es,Galicia,Internet Archive,Dominio público,tei/flor_de_santidad_001.xml,Descarga IA 2026-02-18,novela,1900
fraternidad,fraternidad,Emilia Pardo Bazán,Fraternidad,1910,,sin_clasificar,,es,,,Dominio público,tei/fraternidad.xml,,cuento,1910
fuego_a_bordo,fuego_a_bordo,Emilia Pardo Bazán,Fuego a Bordo,1885,,sin_clasificar,,es,,,Dominio público,tei/fuego_a_bordo.xml,,cuento,1880
idilio,idilio,Emilia Pardo Bazán,Idilio,1892,,sin_clasificar,,es,,,Dominio público,tei/idilio.xml,,cuento,1890
la-gota-de-sangre-1147839,la_gota_de_sangre_1147839,Emilia Pardo Bazán,La Gota De Sangre 1147839,1911,,novela,,es,,,Dominio público,tei/la-gota-de-sangre-1147839.xml,,novela,1910
la-madre-naturaleza-2011,la_madre_naturaleza_2011,Emilia Pardo Bazán,La Madre Naturaleza 2011,1887,,novela,,es,,,Dominio público,tei/la-madre-naturaleza-2011.xml,Segunda parte de Los Pazos de Ulloa,novela,1880
la_amenaza,la_amenaza,Emilia Pardo Bazán,La Amenaza,1900,,sin_clasificar,,es,,,Dominio público,tei/la_amenaza.xml,,cuento,1900
la_aventura_del_ángel,la_aventura_del_angel,Emilia Pardo Bazán,La Aventura del Ángel,1897,,sin_clasificar,,es,,,Dominio público,tei/la_aventura_del_ángel.xml,,cuento,1890
la_bicha,la_bicha,Emilia Pardo Bazán,La Bicha,1898,,sin_clasificar,,es,,,Dominio público,tei/la_bicha.xml,Cuentos de amor,cuento,1890
la_camarona,la_camarona,Emilia Pardo Bazán,La Camarona,1900,,sin_clasificar,,es,,,Dominio público,tei/la_camarona.xml,,cuento,1900
la_charca,la_charca,Emilia Pardo Bazán,La Charca,1910,,sin_clasificar,,es,,,Dominio público,tei/la_charca.xml,La Esfera núm. 271,cuento,1910
la_corpana,la_corpana,Emilia Pardo Bazán,La Corpana,1922,,sin_clasificar,,es,,,Dominio público,tei/la_corpana.xml,Cuentos de la tierra (obra póstuma),cuento,1920
la_danza_del_peregrino,la_danza_del_peregrino,Emilia Pardo Bazán,La Danza del Peregrino,1916,,sin_clasificar,,es,,,Dominio público,tei/la_danza_del_peregrino.xml,Blanco y Negro núm. 1325,cuento,1910
la_emparedada,la_emparedada,Emilia Pardo Bazán,La Emparedada,1907,,sin_clasificar,,es,,,Dominio público,tei/la_emparedada.xml,Blanco y Negro núm. 864 (2 febrero 1907),cuento,1900
la_estrella_blanca,la_estrella_blanca,Emilia Pardo Bazán,La Estrella Blanca,1912,,sin_clasificar,,es,,,Dominio público,tei/la_estrella_blanca.xml,La Esfera enero 1912,cuento,1910
la_exangüe,la_exangue,Emilia Pardo Bazán,La Exangüe,1902,,sin_clasificar,,es,,,Dominio público,tei/la_exangüe.xml,,cuento,1900
la_expiacion,la_expiacion,Emilia Pardo Bazán,La Expiación,1890,,sin_clasificar,,es,,,Dominio público,tei/la_expiacion.xml,Cuento naturalista de la tierra,cuento,1890
la_flor_de_la_salud,la_flor_de_la_salud,Emilia Pardo Bazán,La Flor de la Salud,1894,,sin_clasificar,,es,,,Dominio público,tei/la_flor_de_la_salud.xml,,cuento,1890
la_flor_seca,la_flor_seca,Emilia Pardo Bazán,La Flor Seca,1893,,sin_clasificar,,es,,,Dominio público,tei/la_flor_seca.xml,,cuento,1890
la_hoz,la_hoz,Emilia Pardo Bazán,La Hoz,1922,,sin_clasificar,,es,,,Dominio público,tei/la_hoz.xml,Cuentos de la tierra (obra póstuma),cuento,1920
la_mayorazga_de_bouzas,la_mayorazga_de_bouzas,Emilia Pardo Bazán,La Mayorazga de Bouzas,1900,,sin_clasificar,,es,,,Dominio público,tei/la_mayorazga_de_bouzas.xml,,cuento,1900
la_mirada,la_mirada,Emilia Pardo Bazán,La Mirada,1908,,sin_clasificar,,es,,,Dominio público,tei/la_mirada.xml,El Imparcial 7 de diciembre,cuento,1900
la_señorita_aglae,la_senorita_aglae,Emilia Pardo Bazán,La Señorita Aglae,1922,,sin_clasificar,,es,,,Dominio público,tei/la_señorita_aglae.xml,Cuentos de la tierra (obra póstuma),cuento,1920
las_caras,las_caras,Emilia Pardo Bazán,Las Caras,1910,,sin_clasificar,,es,,,Dominio público,tei/las_caras.xml,Caras y Caretas 29 de octubre,cuento,1910
las_cutres,las_cutres,Emilia Pardo Bazán,"Las ""Cutres""",1910,,sin_clasificar,,es,,,Dominio público,tei/las_cutres.xml,Blanco y Negro núm. 1022,cuento,1910
las_tapias_del_campo_santo,las_tapias_del_campo_santo,Emilia Pardo Bazán,Las Tapias del Campo Santo,1892,,sin_clasificar,,es,,,Dominio público,tei/las_tapias_del_campo_santo.xml,,cuento,1890
madrugueiro,madrugueiro,Emilia Pardo Bazán,Madrugueiro,1922,,sin_clasificar,,es,,,Dominio público,tei/madrugueiro.xml,Cuentos de la tierra (obra póstuma),cuento,1920
morrión_y_boina,morrion_y_boina,Emilia Pardo Bazán,Morrión y Boina,1892,,sin_clasificar,,es,,,Dominio público,tei/morrión_y_boina.xml,,cuento,1890
nieto_del_cid,nieto_del_cid,Emilia Pardo Bazán,Nieto del Cid,1900,,sin_clasificar,,es,,,Dominio público,tei/nieto_del_cid.xml,,cuento,1900
poema_humilde,poema_humilde,Emilia Pardo Bazán,Poema Humilde,1900,,poesia,,es,,,Dominio público,tei/poema_humilde.xml,,poesia,1900
por_el_arte,por_el_arte,Emilia Pardo Bazán,Por el Arte,1891,,sin_clasificar,,es,,,Dominio público,tei/por_el_arte.xml,,cuento,1890
puntería,punteria,Emilia Pardo Bazán,Puntería,1892,,sin_clasificar,,es,,,Dominio público,tei/puntería.xml,Finales s. XIX,cuento,1890
santiago_el_mudo,santiago_el_mudo,Emilia Pardo Bazán,Santiago el Mudo,1894,,sin_clasificar,,es,,,Dominio público,tei/santiago_el_mudo.xml,,cuento,1890
testigo_irrecusable,testigo_irrecusable,Emilia Pardo Bazán,Testigo Irrecusable,1917,,sin_clasificar,,es,,,Dominio público,tei/testigo_irrecusable.xml,,cuento,1910
una_pasión,una_pasion,Emilia Pardo Bazán,Una Pasión,1909,,sin_clasificar,,es,,,Dominio público,tei/una_pasión.xml,,cuento,1900
viernes_santo,viernes_santo,Emilia Pardo Bazán,Viernes Santo,1891,,sin_clasificar,,es,,,Dominio público,tei/viernes_santo.xml,,cuento,1890
aguila_de_blason_001,aguila_de_blason,Ramón del Valle-Inclán,Águila de blasón,1907,,teatro,comedias_barbaras,es,,,Dominio público,tei/aguila_de_blason_001.xml,Primera parte de la trilogía Comedias bárbaras,teatro,1900
romance_de_lobos_001,romance_de_lobos,Ramón del Valle-Inclán,Romance de lobos,1908,,teatro,comedias_barbaras,es,,,Dominio público,tei/romance_de_lobos_001.xml,Segunda parte de la trilogía Comedias bárbaras,teatro,1900
cara_de_plata_001,cara_de_plata,Ramón del Valle-Inclán,Cara de plata,1923,,teatro,comedias_barbaras,es,,,Dominio público,tei/cara_de_plata_001.xml,Tercera parte de la trilogía Comedias bárbaras,teatro,1920
cantares_gallegos_001,cantares_gallegos,Rosalía de Castro,Cantares Gallegos,1863,,poesia,,es,,,Dominio público,tei/cantares_gallegos_001.xml,Primera obra publicada de Rosalía de Castro,poesia,1860
follas_novas_001,follas_novas,Rosalía de Castro,Follas Novas,1880,,poesia,,es,,,Dominio público,tei/follas_novas_001.xml,Segunda obra poética de Rosalía de Castro,poesia,1880
curros_enriquez_aires_de_la_tierra,curros_enriquez_aires_de_la_tierra,Manuel Curros Enríquez,Aires De La Tierra,1880,,poesia,,gl,Galicia,PDF,Dominio público,tei/curros_enriquez_aires_de_la_tierra.tei.xml,Segunda obra poética de Manuel Curros Enríquez,poesia,1880
queixumes_dos_pinos,queixumes_dos_pinos,Eduardo Pondal,Queixumes dos pinos,1886,,poesia,,gl,Galicia,Galiciana,Dominio público,tei/queixumes_dos_pinos.xml,Edicion electronica de Galiciana (Biblioteca Dixital de Galicia) 2019,poesia,1880
castelao_cousas_tei_v2,castelao_cousas,Alfonso Daniel Rodriguez Castelao,Cousas,1926,,prosa,,gl,Galicia,Webnode,Uso academico,tei/castelao_cousas_tei_v2.xml,Prosa breve (estampas y fragmentos) de Castelao,cuento,1920
retrincos,retrincos,Alfonso Daniel Rodriguez Castelao,Retrincos,1934,,prosa,,gl,Galicia,PDF,Uso academico,tei/retrincos.tei.xml,Prosa breve (relatos) - OCR a partir de PDF 15 páginas,cuento,1930
castelao_os_dous_de_sempre,castelao_os_dous_de_sempre,Alfonso Daniel Rodriguez Castelao,Os dous de sempre,1934,,novela,,gl,Galicia,PDF,Uso academico,tei/castelao_os_dous_de_sempre.xml,Novela de Castelao (Pressbooks 2013 / edición original 1934),novela,1930
dieste_viaje_duelo_perdicion_tei,dieste_viaje_duelo_perdicion_tei,Rafael Dieste,Viaje Duelo y Pérdición,1945,,tragedia,,gl,Galicia,PDF,Dominio público,tei/dieste_viaje_duelo_perdicion_tei.xml,Tragedia de Dieste (ABBYY FineReader OCR 2025 - Editorial Atlantida),novela,1940
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,supersticiones_de_galicia_y_preocupaciones_vulgares_tei,Xesús Rodríguez López,Supersticiones de Galicia y preocupaciones vulgares,1943,,ensayo,,es,Buenos Aires,Internet Archive,Dominio público,tei/supersticiones_de_galicia_y_preocupaciones_vulgares_tei.xml,Estudio de folklore y costumbres gallegas (Editorial Nova Buenos Aires),ensayo,1940
as_cruces_de_pedra_na_galiza_castelao_tei,as_cruces_de_pedra_na_galiza_castelao_tei,Alfonso Daniel Rodriguez Castelao,As cruces de pedra na Galiza,1950,,ensayo,,gl,A Coruña,PDF,Dominio público,tei/as_cruces_de_pedra_na_galiza_castelao_tei.xml,Discurso académico sobre cruces de piedra en Galicia (Real Academia Galega 1950),ensayo,1950
sempre_en_galiza_castelao_tei,sempre_en_galiza_castelao_tei,Alfonso Daniel Rodriguez Castelao,Sempre en Galiza,1944,,ensayo,,gl,Buenos Aires,EPUB,Dominio público,tei/sempre_en_galiza_castelao_tei.xml,Ensayo político-memorial sobre Galicia escrito en el exilio argentino,ensayo,1940
manuel_antonio_de_catro_a_catro_tei,manuel_antonio_de_catro_a_catro_tei,Manuel Antonio,De catro a catro,1940,,poesia,,gl,A Coruña,EPUB,Dominio público,tei/manuel_antonio_de_catro_a_catro_tei.xml,Poesía vanguardista (publicación póstuma - autor 1900-1930),poesia,1940
dieste_muriel_tei,dieste_muriel_tei,Rafael Dieste,Historias e invenciones de Félix Muriel,1943,,novela,,gl,Buenos Aires,PDF,Dominio público,tei/dieste_muriel_tei.xml,Novela publicada póstumamente (Editorial Nova Buenos Aires 1943),novela,1940
